Laptop_name,Price
"ASUS 15.6"" Laptop - AMD R7-5800H -512GB SSD - 8GB RAM - Windows 11",$549.99
"Asus 15.6"" Laptop - Intel i3-1115G5 - 512GB SSD - 8GB RAM - Windows 11",$679.99
"Lenovo 15.6"" IdeaPad 1i - Intel N5030 - 128GB - 4GB RAM - Windows 11 with 1-year of Microsoft 365",$249.99
"HP 15.6"" UFS Laptop PC - Intel Processor N100 - 128 GB SSD - 4 GB RAM - Windows 11 Home S",$429.99
"Asus 14"" Laptop with 1-year of Microsoft 365 - Intel Celeron N4020 - 4GB DDR4 RAM - 64GB eMMC - Windows 11 Home in S mode",$229.99
"HP 15.6"" Laptop - Intel Core i7-1255U - Intel Iris Xe - 16 GB DDR4 - 512 GB  SSD - Windows 11 Home",$999.99
"HP 15.6"" Laptop - AMD R5-7520U/1TB SSD/16GB RAM/Windows 11",$899.99
"Lenovo IdeaPad Slim 3 15.6"" Windows Laptop - AMD Ryzen 3 7320U - 8 GB RAM - 256 GB SSD - Windows 11 Home S",$449.99
"HP 15.6"" Laptop - AMD Ryzen 5 5500U - AMD Radeon - 16 GB DDR4 Memory - 512 GB  SSD - Windows 11 Home",$599.99
"Lenovo Yoga 7i 14"" 2-in-1 Laptop - Intel EVO i7-1355U - 512GB SSD - 16GB RAM -Windows 11","$1,199.99"
"Acer 15.6"" Intel Core i5-1135G7 Laptop - 512GB SSD - 12GB RAM - Windows 11 - Silver",$829.99
"HP 17.3"" Laptop - AMD Ryzen 5-7520U - 1TB SSD - 16GB RAM - Windows 11",$999.99
"Acer 17.3"" Intel Core i3-1215U Laptop - 512GB SSD - 16GB RAM - Windows 11 - Silver",$799.99
"HP 15.6"" Laptop - Intel i3-1215U - 512GB SSD - 8GB RAM - Windows 11",$499.99
"Lenovo 16"" IdeaPad Slim 5 - AMD R5-7530U - 512GB SSD - 16GB RAM - Windows 11",$799.99
"Acer Aspire 3 - 15.6"" FHD Laptop - AMD Ryzen 3 7320U - 512 GB SSD - 16 GB RAM - Windows 11 - Silver - A315-24P-R5S0",$779.99
"Lenovo Flex 5i 14"" 2-in-1 Laptop - Intel i5-1335U - 512GB SSD - 16GB RAM - Windows 11",$899.99
"Acer Aspire 3 - 15.6"" FHD Laptop - Intel Core i5-1135G7 - 1 TB SSD - 16 GB RAM - Windows 11 - Silver - A315-58-5205",$699.99
"HP Victus 16.1"" Gaming Laptop 12th Generation Intel Core i5-12500H- 512 GB PCIe Gen4 NVMe M.2 SSD - 16 GB RAM- RTX 3050 - Window",$849.99
"ASUS ZenBook 14 14"" Touch Laptop - Intel Core i7-1260p - 512GB SSD - 16GB RAM - Windows 11 - Blue","$1,399.99"
"HP 15"" Windows Laptop - Intel i5-1335U - 512 GB SSD - 8 GB RAM - Windows 11 Home",$699.99
"ASUS Vivobook 15 15.6"" Intel Core i5-1235U Home Laptop - 1TB SSD - 8GB DDR4 - Windows 11  - Quiet Blue",$699.99
"HP 15.6"" ProBook 455 G10 Laptop - AMD Ryzen 7 7730U - 1TB SSD - 32GB - RAM - Windows 11 Pro - English","$1,398.99"
Acer 15.6'' FHD Laptop - AMD Athlon Processor - 8GB RAM - 256GB SSD,$599.99
"ASUS Vivobook Go 15 15.6"" Laptop - AMD Ryzen 5 7520U - 512GB SSD - 8GB LPDDR5 RAM - Windows 11  - Mixed Black",$749.99
"Acer Aspire 3 - 15.6"" FHD Laptop - AMD Ryzen 3 7320U - 256 GB SSD - 8 GB RAM - Windows 11S - A315-24P-R9VB",$469.99
"HP 15.6"" Laptop - AMD Ryzen 3 7320U - 512 GB SSD - 8 GB RAM - Windows 11 Home",$699.99
"Acer Aspire Vero - 15.6"" FHD IPS Laptop - Intel Core i5-1335U - 1 TB SSD - 16 GB RAM - Windows 11 - Green - AV15-53P-5222","$1,079.99"
"HP ENVY 15.6"" 2-in-1 Laptop - AMD R5-7530U - 512GB SSD - 16GB RAM - Windows 11","$1,249.99"
"Microsoft Surface Laptop 5 13.5"" - Intel Core i5 - 256 GB SSD - 8 GB RAM - Windows 11 Home - Platinum","$1,149.99"
"Lenovo 15.6"" Laptop AMD R5-5500U - 512GB SSD - 8GB RAM - Windows 11",$499.99
"Lenovo ThinkPad E16 Gen 1 16"" Laptop - Intel Core i7-1355U - 512GB SSD - 16GB RAM - Windows 11 Pro - English - Graphite Black","$1,649.99"
"Lenovo 15.6"" IdeaPad 1i - Intel N5030 - 128GB - 4GB RAM - Windows 11 with 1-year of Microsoft 365",$249.99
"Asus 14"" Laptop with 1-year of Microsoft 365 - Intel Celeron N4020 - 4GB DDR4 RAM - 64GB eMMC - Windows 11 Home in S mode",$229.99
"HP 15.6"" UFS Laptop PC - Intel Processor N100 - 128 GB SSD - 4 GB RAM - Windows 11 Home S",$429.99
"HP 15.6"" Laptop - AMD R5-7520U/1TB SSD/16GB RAM/Windows 11",$899.99
"Asus 15.6"" Laptop - Intel i3-1115G5 - 512GB SSD - 8GB RAM - Windows 11",$679.99
"Lenovo IdeaPad Slim 3 15.6"" Windows Laptop - AMD Ryzen 3 7320U - 8 GB RAM - 256 GB SSD - Windows 11 Home S",$449.99
